Sample,Bin,Completeness,Contamination,Quality,Phylum,Class,Order,Family,Genus,Species,no_ARGs,no_IS
M1,1,73.6026624,0.508701473,Medium,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Duganella,,0,0
M1,3,70.09433962,0.530660377,Medium,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Curvibacter,,0,0
M2,3,56.4569173,0.200267023,Medium,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Limnohabitans,,0,1
M5,1,96.03104369,0.794569246,High,Proteobacteria,Gammaproteobacteria,Enterobacterales,Shewanellaceae,Shewanella,Shewanella xiamenensis,1,1
M5,2,55.06622517,0.556893438,Medium,Firmicutes,Bacilli,Bacillales,Amphibacillaceae,Virgibacillus,,0,0
M5,4,89.02439024,2.43902439,Medium,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Arcobacteraceae,Aliarcobacter,,0,1
M5,5,97.94520548,1.187214612,High,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter tandoii,0,0
M5,7,93.2748538,0.629779577,High,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,,1,4
M6,1,97.55555556,0.222222222,High,Cyanobacteria,Cyanophyceae,Nostocaceae,Aphanizomenaceae,Trichormus,,0,5
M6,4,57.75862069,0,Medium,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Erythrobacter,,0,0
Ug1,3,90.22556391,0.37593985,High,Firmicutes,Bacilli,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,GCF-1484045 sp001484045,0,0
Ug1,6,84.13793103,1.724137931,Medium,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas maltophilia,2,1
Ug1,7,55.17241379,0,Medium,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas bentonitica,0,0
Ug2,4,73.42089728,1.472634508,Medium,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas nasdae,0,0
Ug2,7,76.79990575,0.779727096,Medium,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas veronii,0,2
Ug2,8,68.94185164,0.687250996,Medium,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Massilia,,0,1
Ug3,3,95.32163743,0.596707724,High,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas jandaei,4,2
Ug3,4,51.6748366,0.245098039,Medium,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,Chryseobacterium aquaticum,0,0
Z1,1,85.08260745,1.169590643,Medium,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas jandaei,1,0
Z1,3,90.39174641,1.973684211,High,Firmicutes,Bacilli,Exiguobacterales,Exiguobacteraceae,Exiguobacterium,Exiguobacterium indicum,0,0
Z1,6,92.66004415,0.662251656,High,Firmicutes,Bacilli,Exiguobacterales,Exiguobacteraceae,Exiguobacterium,Exiguobacterium profundum,0,0
Z3,1,52.30392157,0,Medium,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Cloacibacterium,,0,0
Z3,7,65.51724138,0,Medium,Proteobacteria,Gammaproteobacteria,Burkholderiales,Chromobacteriaceae,Vogesella,,0,0
Z4,1,74.81981982,1.171171171,Medium,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas sp900156095,0,1
Z4,3,63.79310345,0,Medium,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Cloacibacterium,,0,0
Uk1,1,51.72413793,3.448275862,Medium,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter bohemicus,0,0
Uk1,6,71.93877551,0,Medium,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Serratia,Serratia fonticola,0,2
Uk1,9,51.75438596,1.754385965,Medium,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sivasensis,0,0
Uk2,4,82.0966071,0.584795322,Medium,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas sobria,1,0
